127.0.0.1 - - [22/Feb/2019:10:09:10 -0300] "GET / HTTP/1.1" 404 1074
10.1.78.157 - - [22/Feb/2019:10:09:11 -0300] "GET /sMonitor/ HTTP/1.1" 200 600
10.1.78.157 - - [22/Feb/2019:10:09:11 -0300] "GET /sMonitor/index.css HTTP/1.1" 200 286
10.1.78.157 - - [22/Feb/2019:10:09:11 -0300] "GET /sMonitor/index.js HTTP/1.1" 200 1094
10.1.78.157 - - [22/Feb/2019:10:09:11 -0300] "GET /sMonitor/resources/js/jquery-3.3.1.js HTTP/1.1" 200 271751
10.1.78.157 - - [22/Feb/2019:10:09:11 -0300] "GET /sMonitor/resources/js/jquery-ui.js HTTP/1.1" 200 520714
10.1.78.157 - - [22/Feb/2019:10:09:11 -0300] "GET /sMonitor/resources/css/jquery-ui.css HTTP/1.1" 200 35997
10.1.78.157 - - [22/Feb/2019:10:09:12 -0300] "GET /sMonitor/resources/dispositivo/cadastrarDispositivo.html HTTP/1.1" 200 2339
10.1.78.157 - - [22/Feb/2019:10:09:12 -0300] "GET /sMonitor/resources/dispositivo/consultarDispositivo.html HTTP/1.1" 200 1092
10.1.78.157 - - [22/Feb/2019:10:09:12 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
10.1.78.157 - - [22/Feb/2019:10:09:12 -0300] "GET /sMonitor/resources/dispositivo/css/dispositivo.css HTTP/1.1" 200 1228
10.1.78.157 - - [22/Feb/2019:10:09:12 -0300] "GET /sMonitor/resources/dispositivo/js/dispositivo.js HTTP/1.1" 200 5663
10.1.78.157 - - [22/Feb/2019:10:09:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:10:33 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:10:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:13:13 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:13:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:15:53 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:15:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:18:33 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:18:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:21:13 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:21:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:23:53 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:23:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:26:33 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:26:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:29:13 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:29:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:31:53 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:31:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:34:33 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:34:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:37:13 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:37:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:39:53 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:39:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:42:33 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:42:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:45:13 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:45:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:47:53 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:47:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:50:33 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:50:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:53:13 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:53:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:55:53 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:55:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:10:58:33 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:10:58:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:01:13 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:01:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:03:53 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:03:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:06:33 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:06:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:09:13 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:09:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:11:53 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:11:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:14:32 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:14:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:17:12 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:17:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:19:52 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:19:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:22:32 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:22:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:25:12 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:25:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:27:52 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:27:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:30:32 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:30:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:33:12 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:33:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:35:52 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:35:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:38:32 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:38:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:41:12 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:41:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 240
10.1.78.157 - - [22/Feb/2019:11:43:52 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:43:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:46:32 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:46:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:49:12 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:49:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:51:52 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:51:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:54:32 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:54:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:57:12 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:57:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:11:59:52 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:11:59:53 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:12:02:32 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:12:02:33 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
10.1.78.157 - - [22/Feb/2019:12:05:12 -0300] "GET /sMonitor/ HTTP/1.1" 304 -
10.1.78.157 - - [22/Feb/2019:12:05:13 -0300] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
