0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:50:46 -0200] "GET /sMonitor/resources/css/images/ui-icons_777777_256x240.png HTTP/1.1" 200 6999
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:50:48 -0200] "GET /sMonitor/resources/css/images/ui-icons_555555_256x240.png HTTP/1.1" 200 6988
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:50:53 -0200] "GET /sMonitor/resources/css/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:10 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:10 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:10 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:11 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:12 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:12 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:12 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:13 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:14 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:15 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:15 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 759
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:20 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:20 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:20 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:20 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:21 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:21 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:22 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:22 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:22 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:22 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [15/Feb/2019:10:51:23 -0200] "POST /sMonitor/ConsultaDispositivo HTTP/1.1" 200 3146
